Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379721_counts.txt" "data/mapped/SRR10379721.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379721_counts.txt" "data/mapped/SRR10379721.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379722_counts.txt" "data/mapped/SRR10379722.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379723_counts.txt" "data/mapped/SRR10379723.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379724_counts.txt" "data/mapped/SRR10379724.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379725_counts.txt" "data/mapped/SRR10379725.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379726_counts.txt" "data/mapped/SRR10379726.bam" 
Geneid	data/mapped/SRR10379721.bam	data/mapped/SRR10379722.bam	data/mapped/SRR10379723.bam	data/mapped/SRR10379724.bam	data/mapped/SRR10379725.bam	data/mapped/SRR10379726.bam
SAOUHSC_00169	209	119	128	90	108	27
SAOUHSC_00170	788	373	431	291	484	92
SAOUHSC_00171	1204	672	668	723	1008	269
SAOUHSC_00172	2620	2109	2214	419	397	24
SAOUHSC_00173	41005	24803	35288	1098	1469	86
SAOUHSC_00174	2945	3355	1790	1736	2407	489
SAOUHSC_00175	296	251	178	238	364	76
SAOUHSC_00176	773	729	543	140	256	60
SAOUHSC_00177	934	951	695	166	334	80
SAOUHSC_00178	751	787	553	190	243	31
SAOUHSC_00179	1433	1542	1056	324	532	221
SAOUHSC_00180	1454	1503	1040	343	472	169
SAOUHSC_00181	1926	1968	1329	526	560	119
SAOUHSC_00182	664	429	460	870	974	43
SAOUHSC_00183	3295	4664	3631	2282	1402	591
SAOUHSC_00184	501	280	389	518	585	94
SAOUHSC_00185	723	453	479	820	1336	142
SAOUHSC_00186	331	203	218	645	750	108
SAOUHSC_00187	12060	9739	6919	115862	174683	49122
SAOUHSC_00188	5459	4054	2979	39177	70596	26720
SAOUHSC_00190	1267	817	879	1547	2124	202
SAOUHSC_00191	4046	3277	2171	4803	4508	96
SAOUHSC_00192	5649	8979	4999	5791	2844	287
SAOUHSC_00193	33	41	21	21	17	0
SAOUHSC_00195	2894	5457	1965	789	1803	487
SAOUHSC_00196	3670	8221	2428	1635	5369	568
SAOUHSC_00197	1656	5109	1106	1764	5228	859
SAOUHSC_00198	3034	7949	1752	7277	14140	1250
SAOUHSC_00199	3885	9122	2061	23673	38286	4513
SAOUHSC_00200	980	551	645	885	1256	167
SAOUHSC_00201	2498	1250	1866	1259	1481	140
SAOUHSC_00202	98	45	29	233	388	72
SAOUHSC_00203	144	70	72	458	735	101
SAOUHSC_00204	1718	1089	870	5708	10659	997
SAOUHSC_00205	55	34	41	28	42	3
SAOUHSC_00206	14466	13829	10665	132245	251348	57667
SAOUHSC_00208	55	49	55	115	95	10
SAOUHSC_00209	1873	1401	997	1500	941	564
SAOUHSC_00211	291	193	195	424	542	280
SAOUHSC_00212	3	2	0	0	0	0
SAOUHSC_00213	260	180	162	130	134	20
SAOUHSC_00214	87	46	47	22	21	3
SAOUHSC_00215	59	45	49	21	23	2
SAOUHSC_00216	390	244	234	164	160	24
SAOUHSC_00217	529	316	307	243	263	74
SAOUHSC_00218	30	19	17	15	12	6
SAOUHSC_00219	988	549	535	439	467	176
SAOUHSC_00220	893	889	494	2488	3811	1235
SAOUHSC_00221	1419	1275	843	3474	4411	530
SAOUHSC_00222	2781	2160	1829	4935	6922	1166
SAOUHSC_00223	2045	1691	1140	1672	2620	347
SAOUHSC_00225	2878	2321	1914	3057	3294	522
SAOUHSC_00226	6519	5013	4756	6412	9212	1304
SAOUHSC_00227	14985	11329	11807	12785	20246	2366
SAOUHSC_00228	33040	26016	27074	21428	32460	6675
SAOUHSC_00229	708	487	480	1601	3801	503
SAOUHSC_00230	991	840	662	5245	7404	1083
SAOUHSC_00231	210	130	117	553	975	70
SAOUHSC_00232	126	193	119	339	2320	177
SAOUHSC_00233	855	975	531	1055	4927	1696
SAOUHSC_00234	1348	1042	913	790	994	64
SAOUHSC_00235	633	367	354	122	244	17
SAOUHSC_00236	1028	735	651	209	322	102
SAOUHSC_00237	169	117	86	134	181	18
SAOUHSC_00238	38	15	28	12	14	2
SAOUHSC_00239	2470	2223	1237	1819	3587	941
SAOUHSC_00240	976	913	541	708	1676	129
SAOUHSC_00241	1986	1780	999	1413	1744	848
SAOUHSC_00242	889	811	589	1757	2152	554
SAOUHSC_00243	216	70	152	65	43	0
SAOUHSC_00244	946	555	867	310	409	16
SAOUHSC_00246	2559	2206	1387	1543	1257	137
SAOUHSC_00247	801	602	520	481	745	122
SAOUHSC_00248	1714	1530	1230	1142	1644	747
SAOUHSC_00249	473	293	316	271	312	24
SAOUHSC_00250	374	223	274	223	288	14
SAOUHSC_00251	139	85	99	123	122	7
SAOUHSC_00253	1877	1071	1497	645	663	32
SAOUHSC_00254	86	60	71	79	57	3
SAOUHSC_00255	458	239	332	178	196	22
SAOUHSC_00256	1748	1258	1293	976	1199	412
SAOUHSC_00257	4044	3753	2590	2299	2991	1722
SAOUHSC_00258	3565	2725	2586	1000	1065	83
SAOUHSC_00259	641	370	504	132	113	7
SAOUHSC_00260	12	12	11	6	7	0
SAOUHSC_00261	213	115	135	101	124	5
SAOUHSC_00262	1386	835	922	716	727	116
SAOUHSC_00264	104	57	71	68	79	11
SAOUHSC_00265	128	82	66	88	68	55
SAOUHSC_00266	206	110	133	104	131	16
SAOUHSC_00267	91	65	61	60	70	21
SAOUHSC_00268	2167	1656	1502	2878	4226	1448
SAOUHSC_00269	1392	933	994	3380	5174	504
SAOUHSC_00270	174	109	133	294	452	50
SAOUHSC_00271	126	67	54	208	353	29
SAOUHSC_00272	1332	607	876	472	272	21
SAOUHSC_00274	104	57	59	83	118	19
SAOUHSC_00275	137	113	104	161	322	25
SAOUHSC_00276	130	111	104	158	326	23
SAOUHSC_00277	114	98	78	139	293	40
SAOUHSC_00278	150	60	76	132	194	24
SAOUHSC_00279	1926	1266	1620	606	772	52
SAOUHSC_00280	2646	1569	2079	882	1029	199
SAOUHSC_00281	661	508	505	2540	5209	925
SAOUHSC_00282	9524	6250	4084	12459	13473	1710
SAOUHSC_00284	550	303	353	342	421	41
SAOUHSC_00285	3841	4636	3082	7478	10580	1280
SAOUHSC_00287	3842	4050	2841	6996	10358	2826
SAOUHSC_00289	11	11	8	2	1	0
SAOUHSC_00290	4398	3303	3358	4010	6278	1206
SAOUHSC_00291	217	179	108	427	1067	100
SAOUHSC_00292	401	317	249	541	1270	231
SAOUHSC_00293	897	544	495	749	1207	150
SAOUHSC_00294	3641	3753	2413	1731	1196	206
SAOUHSC_00295	1839	2314	1336	1538	1113	192
SAOUHSC_00296	1155	1062	837	1041	1773	517
SAOUHSC_00297	1295	952	678	2292	3415	682
SAOUHSC_00298	2638	2282	1774	1039	1240	276
SAOUHSC_00299	469	302	286	423	859	59
SAOUHSC_00300	71571	61902	51281	44259	60164	23472
SAOUHSC_00301	1376	912	887	1492	1783	307
SAOUHSC_00302	876	508	601	1086	1462	272
SAOUHSC_00303	45	24	31	38	68	5
SAOUHSC_00304	447	292	222	420	520	110
SAOUHSC_00305	215	151	126	156	265	39
SAOUHSC_00306	465	354	254	362	405	76
SAOUHSC_00307	584	400	284	387	533	135
SAOUHSC_00308	758	504	429	447	747	170
SAOUHSC_00309	3325	3242	2075	8270	8932	3309
SAOUHSC_00310	2257	2807	1571	2075	1471	320
SAOUHSC_00311	316	499	254	425	266	108
SAOUHSC_00312	566	833	378	736	404	87
SAOUHSC_00313	1934	2976	1478	5669	2324	521
SAOUHSC_00314	10068	8069	5896	4275	5000	513
SAOUHSC_00315	5410	4438	3108	580	575	45
SAOUHSC_00316	2112	1510	1375	350	401	29
SAOUHSC_00317	4184	3142	2641	4054	9079	1856
SAOUHSC_00318	839	844	750	1305	2476	585
