Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
SAOUHSC_00275	12	0	4	4	5	1
SAOUHSC_00276	15	14	15	2	5	0
SAOUHSC_00277	5	0	3	1	2	0
SAOUHSC_00278	32	10	22	33	55	8
SAOUHSC_00279	122	109	112	31	53	2
SAOUHSC_00280	348	290	224	125	139	21
SAOUHSC_00281	99	62	61	18	18	6
SAOUHSC_00282	127	75	86	31	24	3
SAOUHSC_00284	54	40	30	11	19	0
SAOUHSC_00285	24	12	16	60	153	14
SAOUHSC_00287	122	72	76	49	34	19
SAOUHSC_00289	152	101	97	60	33	7
SAOUHSC_00290	91	55	53	22	16	2
SAOUHSC_00291	89	57	51	28	20	1
SAOUHSC_00292	161	78	85	59	105	22
SAOUHSC_00293	186	85	77	84	90	0
SAOUHSC_00294	90	54	53	25	15	2
SAOUHSC_00295	1003	839	760	605	713	140
SAOUHSC_00296	86	45	52	15	21	0
SAOUHSC_00297	190	158	141	67	26	6
SAOUHSC_00298	557	351	299	278	253	62
SAOUHSC_00299	264	211	153	460	427	56
SAOUHSC_00300	401	301	225	454	453	154
SAOUHSC_00301	39	20	19	2	7	0
SAOUHSC_00302	266	151	164	50	46	5
SAOUHSC_00303	70	41	39	6	7	0
SAOUHSC_00304	153	86	102	24	16	2
SAOUHSC_00305	106	44	70	27	18	0
SAOUHSC_00306	75	29	44	14	10	0
SAOUHSC_00307	111	69	65	101	71	6
SAOUHSC_00308	297	272	203	219	300	105
SAOUHSC_00309	76	57	57	30	50	3
SAOUHSC_00310	122	87	55	47	27	3
SAOUHSC_00311	766	520	418	371	290	26
SAOUHSC_00312	75	50	39	14	8	0
SAOUHSC_00313	137	80	106	23	31	4
SAOUHSC_00314	29	24	30	15	29	0
SAOUHSC_00315	163	171	147	30	39	8
SAOUHSC_00316	96	48	59	64	62	2
SAOUHSC_00317	111	48	67	29	21	5
SAOUHSC_00318	16	20	15	12	8	0
SAOUHSC_00319	241	184	160	158	267	79
SAOUHSC_00320	55	22	33	6	13	1
SAOUHSC_00322	103	45	42	9	9	0
SAOUHSC_00323	31	16	28	5	4	0
SAOUHSC_00324	165	87	95	24	8	2
SAOUHSC_00325	120	68	91	45	68	4
SAOUHSC_00326	52	28	26	22	25	1
SAOUHSC_00327	51	26	15	20	31	10
SAOUHSC_00328	54	26	18	42	14	3
SAOUHSC_00329	19	14	11	1	3	0
SAOUHSC_00330	63	37	38	16	8	0
SAOUHSC_00331	65	38	35	12	12	0
SAOUHSC_00332	38	23	24	8	15	0
SAOUHSC_00333	148	90	95	101	118	23
SAOUHSC_00334	213	161	137	33	44	5
SAOUHSC_00335	73	58	50	37	28	12
SAOUHSC_00336	429	255	261	401	379	51
SAOUHSC_00337	511	399	344	559	576	83
SAOUHSC_00338	369	251	228	225	193	62
SAOUHSC_00339	264	186	148	176	159	23
SAOUHSC_00340	3430	2770	3549	79	30	0
SAOUHSC_00341	2662	2347	2736	47	21	8
SAOUHSC_00342	474	405	547	14	5	0
SAOUHSC_00344	7375	5195	6946	390	251	7
SAOUHSC_00345	72	65	38	70	109	6
SAOUHSC_00346	51	43	27	17	17	1
SAOUHSC_00347	112	78	62	42	35	4
SAOUHSC_00348	28	19	19	13	6	4
SAOUHSC_00349	182	126	196	13	6	4
SAOUHSC_00350	72	54	59	10	8	0
SAOUHSC_00351	88	82	90	4	12	4
SAOUHSC_00352	150	103	114	146	183	7
SAOUHSC_00353	95	71	100	82	67	0
SAOUHSC_00354	120	93	88	167	119	4
SAOUHSC_00355	266	239	184	387	415	32
SAOUHSC_00356	106	84	121	44	57	5
SAOUHSC_00357	39	34	69	36	32	40
SAOUHSC_00358	780	690	769	565	365	39
SAOUHSC_A00354	430	423	479	120	157	7
SAOUHSC_00359	302	284	380	136	153	8
SAOUHSC_00360	117	91	136	42	33	9
SAOUHSC_00362	1125	1071	966	526	396	118
SAOUHSC_00363	448	356	337	172	92	27
SAOUHSC_00364	553	442	424	45	40	11
SAOUHSC_00365	1081	1086	819	533	384	97
SAOUHSC_00366	1044	592	1123	94	112	5
SAOUHSC_00367	228	115	142	56	55	3
SAOUHSC_00368	65	36	54	21	21	0
SAOUHSC_00369	93	48	43	38	31	2
SAOUHSC_00370	189	124	116	60	64	5
SAOUHSC_00371	308	251	224	94	145	20
SAOUHSC_00372	293	235	190	60	38	8
SAOUHSC_00373	186	163	123	53	39	8
SAOUHSC_00374	104	48	90	62	55	4
SAOUHSC_00375	23	10	33	53	66	10
SAOUHSC_00376	3	0	1	4	0	6
SAOUHSC_00377	78	49	81	103	158	10
SAOUHSC_00378	114	101	83	52	41	18
SAOUHSC_00381a	151	126	119	47	34	7
SAOUHSC_00381	271	178	219	111	85	4
SAOUHSC_00382	120	79	117	66	81	4
SAOUHSC_00383	233	157	186	92	75	6
SAOUHSC_00384	19	15	20	9	5	0
SAOUHSC_00386	214	152	168	104	100	16
SAOUHSC_00387	94	50	64	21	11	2
SAOUHSC_00389	96	54	67	22	13	2
SAOUHSC_00390	79	58	91	43	39	5
SAOUHSC_00391	26	14	21	13	2	1
SAOUHSC_00392	76	48	75	22	21	2
