"gene","per_1","per_2","per_3","control_1","control_2","control_3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_02564",1913,1165,1325,396,472,48,748.59631371286,2.37478593050744,0.277560133359017,8.55593309373328,1.16919100811958e-17,2.44220617776017e-16
"SAOUHSC_02565",3194,1685,2272,560,581,50,1169.93813692626,2.75168338549413,0.357542829612314,7.69609444686053,1.40288132989551e-14,2.14019506603631e-13
"SAOUHSC_02566",34595,15524,30945,16897,18240,2460,16865.4049534469,1.17423617200088,0.352339229442359,3.33268643931397,0.00086011820125381,0.00230099244208371
"SAOUHSC_02568",3357,2195,2814,3054,5245,601,2422.7703554844,-0.00667163382613566,0.267340978766464,-0.0249555225574441,0.98009044040573,0.98423697688437
"SAOUHSC_02569",1451,943,1489,2367,3709,682,1611.33654231756,-0.878727418993389,0.331420901478281,-2.65139408852575,0.0080160249272942,0.0167438728681321
"SAOUHSC_02570",2652,1984,2118,7382,9613,1208,3473.77846460857,-1.3563151219519,0.20470415640252,-6.62573318386811,3.45528804618322e-11,3.35381304408341e-10
"SAOUHSC_02571",15211,18053,20096,2554,1874,608,8805.3490110498,3.22869676345469,0.403788351623413,7.99601263997306,1.28513195079845e-15,2.16482549905467e-14
"SAOUHSC_02572",20304,16637,13707,49364,64257,9458,24847.7151534545,-1.27120487392515,0.184467234685559,-6.89122312746774,5.53146965321404e-12,6.01777802689244e-11
"SAOUHSC_02573",1993,1888,1477,12775,19838,6317,8055.90122247178,-3.22974197297722,0.427993935367587,-7.54623303295951,4.48028088532896e-14,6.46299082408504e-13
"SAOUHSC_02574",1970,1595,1461,12118,14679,2972,5346.8730819985,-2.67134195143001,0.241223508101999,-11.0741360676193,1.67487719589934e-28,1.04121532345076e-26
"SAOUHSC_02575",324,231,228,1409,1166,86,436.426478737391,-1.53648802835934,0.424991567396219,-3.61533768251658,0.000299956371473751,0.00089201148737809
"SAOUHSC_02576",1019,1115,1176,1221,1432,349,982.522044470523,-0.00188330437113998,0.340633120097128,-0.00552883516025387,0.995588650260791,0.996993044293313
"SAOUHSC_02577",5672,4411,3470,10369,14780,3208,6514.94446111708,-1.24006053891845,0.29684678777775,-4.17744301092755,2.94804494696465e-05,0.000106759297593963
"SAOUHSC_02579",4037,3006,3578,2571,2896,626,2500.39568024658,0.691446290101215,0.273124315435507,2.53161747608842,0.0113537777614174,0.0228916708378848
